Var1,Var2
12DHCHOLabc,Transport reactions
15KPROSTGF2c,Eicosanoid metabolism
1A25DHVITD3t2e,Transport reactions
1A25DHVITD3te,Transport reactions
2H3MVc,"Valine, leucine, and isoleucine metabolism"
2HIVc,"Valine, leucine, and isoleucine metabolism"
2HYOXPLCte,Transport reactions
2M3OVCOAm,Propanoate metabolism
2MB2COAc,Fatty acid oxidation
34DHPEAR,Tyrosine metabolism
34DHPHELAT1tc,Transport reactions
34HPLFM,Ubiquinone synthesis
3DHCDCHOLabc,Transport reactions
3DHCDCHOLt2,Transport reactions
3DHCHOLabc,Transport reactions
3DHCHOLt2,Transport reactions
3DHDCAS,Bile acid biosynthesis
3DHDCAabc,Transport reactions
3DHLCAabc,Transport reactions
3HADICOAx,Fatty acid oxidation
3HBCOARc,Fatty acid oxidation
3HPVSCOAhc,Drug metabolism
3HPVSCOAitm,Drug metabolism
3HPVSCOAitx,Drug metabolism
3HPVSTETCOAhcm,Drug metabolism
3HPVSTETCOAhcx,Drug metabolism
3HPVSteb,Drug metabolism
3MEACMPhc,Drug metabolism
3MEACMPitr,Drug metabolism
3OHACMPhr,Drug metabolism
3OHACMPitr,Drug metabolism
3OHSEBCOAx,Fatty acid oxidation
3OHSUBCOAx,Fatty acid oxidation
4HBZCOAFm,Ubiquinone synthesis
4HBZFm,Ubiquinone synthesis
4HPROLTASCT1,Transport reactions
5EIPENCm,Fatty acid oxidation
5FTHFt2,Transport reactions
5MTHFt2,Transport reactions
7DHCDCHOLabc,Transport reactions
7DHCHOLabc,Transport reactions
7DHCHSTEROLtr,Transport reactions
7KILTCHOLATP,Transport reactions
ACCOAL,Propanoate metabolism
ACCOAtr,Transport reactions
ACMPGLUChr,Drug metabolism
ACMPGLUTtep,Drug metabolism
ACMPGLUTthc,Drug metabolism
ACMPGLUtep,Drug metabolism
ACMPGLUthc,Drug metabolism
ACMPShc,Drug metabolism
ACMPitr,Drug metabolism
ACMPthc,Drug metabolism
ACRNte,Transport reactions
ACRNtm,Transport reactions
ADPCOACROT,Fatty acid oxidation
ADPCOAPTE,Fatty acid oxidation
ADRNCRNt,Fatty acid oxidation
AK2LGCHOLABCt,Transport reactions
ALAALACNc,Transport reactions
ALAARGCYSt,Transport reactions
ALAARGGLYt,Transport reactions
ALAASNLEUt,Transport reactions
