,Transport reactions,Eicosanoid metabolism,"Valine, leucine, and isoleucine metabolism",Propanoate metabolism,Fatty acid oxidation,Tyrosine metabolism,Ubiquinone synthesis,Bile acid biosynthesis,Drug metabolism,Starch and sucrose metabolism,Biotin metabolism,Blood group biosynthesis,Sphingolipid metabolism,Cholesterol metabolism,Glycerophospholipid metabolism,Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,Oxidative phosphorylation,Fatty acid biosynthesis,N-glycan metabolism,Pyrimidine metabolism,Exchange/demand reactions,Miscellaneous,Heme synthesis,Glycolysis / Gluconeogenesis,Pentose phosphate pathway,O-glycan metabolism,Acylglycerides metabolism,Pool reactions,Acyl-CoA hydrolysis,Carnitine shuttle (cytosolic),Carnitine shuttle (mitochondrial),Fatty acid activation (cytosolic),Glycerolipid metabolism,"Glycine, serine and threonine metabolism",Inositol phosphate metabolism,Nicotinate and nicotinamide metabolism,Glycosphingolipid metabolism,Glycosphingolipid biosynthesis-globo series,Glycosphingolipid biosynthesis-ganglio series,Glycosphingolipid biosynthesis-lacto and neolacto series,Arachidonic acid metabolism,Ether lipid metabolism,Artificial reactions,Steroid metabolism,Leukotriene metabolism,Beta oxidation of poly-unsaturated fatty acids (mitochondrial),Prostaglandin biosynthesis,Butanoate metabolism,Cholesterol biosynthesis 1 (Bloch pathway) ,Cholesterol biosynthesis 2,Cholesterol biosynthesis 3 (Kandustch-Russell pathway),Pyruvate metabolism,Bile acid recycling,Androgen metabolism,Glucocorticoid biosynthesis,Estrogen metabolism,Vitamin D metabolism,Fatty acid biosynthesis (even-chain),Fatty acid elongation (even-chain),Fatty acid biosynthesis (odd-chain),Fatty acid elongation (odd-chain),Fatty acid desaturation (even-chain),Fatty acid desaturation (odd-chain),Fatty acid biosynthesis (unsaturated),Omega-6 fatty acid metabolism,Linoleate metabolism,Omega-3 fatty acid metabolism,Carnitine shuttle (endoplasmic reticular),Fatty acid activation (endoplasmic reticular),Carnitine shuttle (peroxisomal),Beta oxidation of even-chain fatty acids (peroxisomal),Beta oxidation of odd-chain fatty acids (peroxisomal),Beta oxidation of even-chain fatty acids (mitochondrial),Tryptophan metabolism,Beta oxidation of odd-chain fatty acids (mitochondrial),Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial),Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial),Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial),Beta oxidation of di-unsaturated fatty acids (n-6) (peroxisomal),Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal),Beta oxidation of unsaturated fatty acids (n-7) (peroxisomal),Beta oxidation of phytanic acid (peroxisomal),Beta oxidation of branched-chain fatty acids (mitochondrial),Formation and hydrolysis of cholesterol esters,"Alanine, aspartate and glutamate metabolism",Arginine and proline metabolism,Sulfur metabolism,Glutathione metabolism,Pantothenate and CoA biosynthesis,Cysteine and methionine metabolism,Folate metabolism,Galactose metabolism,ROS detoxification,Nucleotide metabolism,Amino sugar and nucleotide sugar metabolism,Porphyrin metabolism,Purine metabolism,Vitamin B6 metabolism,Beta-alanine metabolism,Biopterin metabolism,Thiamine metabolism,"Phenylalanine, tyrosine and tryptophan biosynthesis",Lysine metabolism,Fructose and mannose metabolism,Histidine metabolism,Serotonin and melatonin biosynthesis,Pentose and glucuronate interconversions,Aminoacyl-tRNA biosynthesis,Protein assembly,Protein degradation,Nitrogen metabolism,Ascorbate and aldarate metabolism,Lipoic acid metabolism,Vitamin E metabolism,Riboflavin metabolism,Retinol metabolism,Terpenoid backbone biosynthesis,Metabolism of xenobiotics by cytochrome P450,Metabolism of other amino acids,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,Chondroitin / heparan sulfate biosynthesis,Heparan sulfate degradation,Keratan sulfate biosynthesis,Keratan sulfate degradation,Chondroitin sulfate degradation,Protein modification,Vitamin B12 metabolism,Isolated,C5-branched dibasic acid metabolism,Heme degradation,Vitamin A metabolism,Phenylalanine metabolism,CoA synthesis,Phosphatidylinositol phosphate metabolism,Urea cycle
0,12DHCHOLabc,15KPROSTGF2c,2H3MVc,2M3OVCOAm,2MB2COAc,34DHPEAR,34HPLFM,3DHDCAS,3HPVSCOAhc,AMY2e,APOCFm,B3GNT312g,BGAL1e,C14STRr,CDS,CITL,CYOOm3i,DESAT14_9,DOLGLCP_Lter,DTMPKm,EX_12HPET[e],EX_CE5026[e],FCLTm,G3PD2m,G6PDH2c,GALNTg,HMR_0001,HMR_0010,HMR_0154,HMR_0159,HMR_0160,HMR_0188,HMR_0453,HMR_0457,HMR_0663,HMR_0712,HMR_0787,HMR_0801,HMR_0817,HMR_0859,HMR_0931,HMR_10061,HMR_10062,HMR_10066,HMR_1080,HMR_1174,HMR_1305,HMR_1434,HMR_1440,HMR_1533,HMR_1535,HMR_1568,HMR_1847,HMR_1944,HMR_1985,HMR_2029,HMR_2114,HMR_2152,HMR_2190,HMR_2227,HMR_2259,HMR_2281,HMR_2288,HMR_2305,HMR_2368,HMR_2440,HMR_2472,HMR_2778,HMR_2942,HMR_3028,HMR_3053,HMR_3056,HMR_3107,HMR_3164,HMR_3170,HMR_3218,HMR_3240,HMR_3275,HMR_3301,HMR_3326,HMR_3356,HMR_3480,HMR_3522,HMR_3540,HMR_3802,HMR_3806,HMR_3861,HMR_3868,HMR_3871,HMR_3875,HMR_3925,HMR_3944,HMR_3960,HMR_3965,HMR_3988,HMR_3991,HMR_3998,HMR_4064,HMR_4078,HMR_4160,HMR_4204,HMR_4214,HMR_4239,HMR_4297,HMR_4428,HMR_4537,HMR_4590,HMR_5130,HMR_5151,HMR_5267,HMR_5407,HMR_6396,HMR_6397,HMR_6426,HMR_6506,HMR_6630,HMR_6901,HMR_6992,HMR_7128,HMR_7185,HMR_7200,HMR_7225,HMR_7335,HMR_7373,HMR_7501,HMR_7617,HMR_8613,HMR_8643,HMR_8662,HOXG,LRAT1,PHETA1m,PPNCL3,RE1447M,r0034
1,1A25DHVITD3t2e,HMR_8546,2HIVc,ACCOAL,3HADICOAx,DOPASULT4,4HBZCOAFm,AMACR2p,3HPVSCOAitm,GLDBRAN,APOC_LYS_BTNPm,B3GNT314g,BGAL1l,C3STDH1Pr,CDSm,HMR_0710,HMR_3975,DESAT16_2,HMR_1532,HMR_3931,EX_12dhchol[e],EX_ga1_hs[e],PPPGOm,HMR_3905,GNDc,HMR_7171,HMR_0003,HMR_0031,HMR_0189,HMR_2591,HMR_0161,HMR_0192,HMR_0456,HMR_0460,HMR_10067,HMR_3992,HMR_0790,HMR_0803,HMR_0819,HMR_0860,HMR_0932,HMR_7598,HMR_10063,HMR_1644,HMR_1081,HMR_1175,HMR_1307,HMR_1436,HMR_1445,HMR_1558,HMR_1536,HMR_3853,HMR_1848,HMR_1952,HMR_1987,HMR_2030,HMR_2115,HMR_2153,HMR_2191,HMR_2228,HMR_2260,HMR_2282,HMR_2289,HMR_2307,HMR_2371,HMR_2441,HMR_2475,HMR_2780,HMR_2943,HMR_3029,HMR_3057,,HMR_3108,HMR_3166,HMR_3171,HMR_3219,HMR_3241,HMR_3277,HMR_3302,HMR_3327,HMR_3357,HMR_3482,HMR_3523,HMR_3545,HMR_3804,HMR_3807,HMR_3866,HMR_3869,HMR_4058,HMR_3877,HMR_4332,HMR_4128,HMR_3980,HMR_3966,HMR_4124,HMR_4657,HMR_4000,HMR_4065,HMR_4079,HMR_4162,HMR_4206,HMR_4216,HMR_4288,HMR_4315,HMR_4429,HMR_4545,HMR_4591,HMR_5131,HMR_5153,HMR_5274,,HMR_8345,,HMR_6427,HMR_6507,HMR_6631,HMR_6903,HMR_6993,HMR_7129,HMR_7186,HMR_7202,HMR_7226,HMR_7336,HMR_7375,HMR_7502,HMR_7618,HMR_8615,HMR_8645,HMR_8663,,RDH2a,,,RE1957R,
2,1A25DHVITD3te,HMR_8548,HMR_3206,HMR_0153,3HBCOARc,HMR_3935,4HBZFm,CA24GSc,3HPVSCOAitx,HMR_3989,BACCLm,FUT18g,BGAL2l,C3STDH1r,CLS_hs,HMR_3787,HMR_3977,DESAT18_10,HMR_7254,HMR_3969,EX_1a25dhvitd3[e],EX_galgluside_hs[e],,HMR_3907,HMR_4052,HMR_7174,HMR_0005,HMR_0032,HMR_0193,HMR_2594,HMR_0162,HMR_0196,HMR_0458,HMR_3752,HMR_4308,HMR_4252,HMR_0792,HMR_0805,HMR_0820,HMR_0864,HMR_0933,HMR_7600,HMR_10064,HMR_1651,HMR_1084,HMR_1176,HMR_1312,HMR_3163,HMR_1448,HMR_1565,HMR_1538,HMR_3854,HMR_1853,HMR_1953,HMR_1999,HMR_2031,HMR_2117,HMR_2154,HMR_2193,HMR_2229,HMR_2261,HMR_2284,,HMR_2309,HMR_2374,HMR_2455,HMR_2478,HMR_2783,HMR_2944,HMR_3030,HMR_3058,,HMR_3109,HMR_3885,HMR_3172,HMR_3220,HMR_3242,HMR_3278,HMR_3304,HMR_3328,HMR_3358,HMR_3484,HMR_3524,HMR_3547,HMR_3811,HMR_3816,HMR_3915,HMR_3889,HMR_4500,HMR_3879,HMR_4333,HMR_4130,HMR_3982,HMR_3967,HMR_4158,HMR_4744,HMR_4002,HMR_4066,HMR_4174,HMR_4163,HMR_4207,HMR_4218,HMR_4596,HMR_4316,HMR_4430,HMR_4548,HMR_4592,HMR_5132,HMR_5155,HMR_5282,,HMR_8349,,HMR_6428,HMR_6508,HMR_6632,HMR_6904,HMR_6994,HMR_7131,HMR_7187,HMR_7203,HMR_7227,HMR_7337,HMR_7376,HMR_7503,HMR_7624,HMR_8616,HMR_9474,HMR_8667,,RE1905C,,,RE2972M,
3,2HYOXPLCte,HMR_8552,HMR_3208,HMR_3212,3OHSEBCOAx,HMR_4681,COQ3m,CDCA24GSc,3HPVSTETCOAhcm,HMR_4122,BTNDm,FUT34g,BGAL3l,C3STKR2r,DAGKn_hs,HMR_3957,HMR_3979,DESAT18_3,HMR_7261,HMR_3970,EX_23cump[e],EX_gd1b_hs[e],,HMR_4097,HMR_4304,HMR_7175,HMR_0449,HMR_0553,HMR_0197,HMR_2599,HMR_0163,HMR_0200,HMR_0459,HMR_3770,HMR_6540,HMR_4253,HMR_0794,HMR_0807,HMR_0821,HMR_0865,HMR_0934,HMR_7602,HMR_10065,HMR_1920,HMR_1088,HMR_1177,HMR_1317,HMR_4461,HMR_1454,,HMR_1539,HMR_3855,HMR_1868,HMR_1959,HMR_2000,HMR_2032,HMR_2118,HMR_2155,HMR_2194,HMR_2230,HMR_2262,HMR_2286,,HMR_2311,HMR_2376,HMR_2456,HMR_2480,HMR_2785,HMR_2945,HMR_3033,HMR_3059,,HMR_3110,HMR_8091,HMR_3173,HMR_3221,HMR_3243,HMR_3279,HMR_3305,HMR_3329,HMR_3359,HMR_3486,HMR_3525,HMR_3551,HMR_3813,HMR_3819,HMR_4084,HMR_3933,HMR_4714,HMR_3881,HMR_4335,HMR_4131,HMR_8409,HMR_3968,HMR_4159,HMR_4746,HMR_4004,HMR_4067,HMR_4330,HMR_4165,HMR_4208,HMR_4219,HMR_4597,HMR_4319,HMR_4431,HMR_4558,HMR_4593,HMR_5133,HMR_5156,HMR_5284,,,,HMR_6429,HMR_6511,HMR_6633,HMR_6905,HMR_6995,HMR_7137,HMR_8379,HMR_7205,HMR_7228,HMR_7338,HMR_7377,HMR_7504,,,HMR_9488,HMR_8668,,,,,RE3268R,
4,34DHPHELAT1tc,HMR_8557,HMR_3211,HMR_3797,3OHSUBCOAx,HMR_4682,COQ5m,CDCA3GSc,3HPVSTETCOAhcx,HMR_5395,BTNPLm,HMR_8262,GBA2e,C4STMO1r,GPDDACHOL,HMR_3958,HMR_6911,DESAT18_4,HMR_7263,HMR_4006,EX_2hyoxplac[e],EX_gm1_hs[e],,HMR_4108,HMR_4306,HMR_7180,HMR_0604,HMR_0561,HMR_0201,HMR_2602,HMR_2592,HMR_0204,HMR_0486,HMR_3784,HMR_6542,HMR_4255,HMR_0797,HMR_0809,HMR_0823,HMR_0866,HMR_0935,HMR_7603,HMR_9725,HMR_1924,HMR_1091,HMR_1178,HMR_1321,HMR_4604,HMR_1465,,HMR_1540,HMR_3857,HMR_1870,HMR_1960,HMR_2001,HMR_2033,HMR_2129,HMR_2156,HMR_2201,HMR_2231,HMR_2263,HMR_2287,,HMR_2315,HMR_2378,HMR_2457,HMR_2482,HMR_2787,HMR_2946,HMR_3034,HMR_3060,,HMR_3111,HMR_8092,HMR_3174,HMR_3222,HMR_3244,HMR_3280,HMR_3306,HMR_3330,HMR_3360,HMR_3488,HMR_3526,HMR_3552,HMR_3822,HMR_3820,HMR_4187,HMR_3937,HMR_4715,HMR_3912,HMR_4336,HMR_4132,HMR_8410,HMR_3999,HMR_4299,HMR_4748,HMR_4010,HMR_4068,HMR_4425,HMR_4166,HMR_8744,HMR_4220,HMR_4599,HMR_4383,HMR_5338,HMR_4559,HMR_4595,HMR_5134,HMR_5166,,,,,HMR_6432,,HMR_6634,HMR_6906,HMR_6996,,HMR_8380,HMR_7206,HMR_7229,HMR_7339,HMR_7378,HMR_7505,,,HMR_9489,,,,,,RE3273C,
5,3DHCDCHOLabc,HMR_8558,HMR_3213,HMR_3800,5EIPENCm,HMR_4683,COQ6m,CDCA6AH,3HPVSteb,HMR_5396,HMR_7668,HMR_8263,GLA2l,C4STMO2Pr,HMR_0448,HMR_4111,HMR_6912,DESAT18_5,HMR_7264,HMR_4008,EX_3dhcdchol[e],EX_gm1b_hs[e],,HMR_4133,HMR_4351,HMR_7181,HMR_0605,HMR_10036,HMR_0206,HMR_2605,HMR_2593,HMR_0209,HMR_0487,HMR_3839,HMR_6543,HMR_4257,HMR_0804,HMR_0810,HMR_0824,HMR_0867,HMR_0936,HMR_7610,biomass_human,HMR_1927,HMR_1093,HMR_1179,HMR_1325,HMR_5351,HMR_1467,,HMR_1543,HMR_3859,HMR_1872,HMR_1962,,HMR_2034,HMR_2130,HMR_2157,HMR_2202,HMR_2232,HMR_2264,HMR_2292,,HMR_2317,HMR_2380,HMR_2458,HMR_2484,HMR_2788,HMR_2947,HMR_3035,HMR_3062,,HMR_3112,HMR_8563,HMR_3175,HMR_3223,HMR_3245,HMR_3281,HMR_3307,HMR_3331,HMR_3361,HMR_3489,HMR_3527,HMR_3554,HMR_3827,HMR_3833,,HMR_4116,HMR_4716,HMR_3917,HMR_4338,HMR_4303,HMR_8413,HMR_4024,HMR_4300,HMR_4750,HMR_4012,HMR_4069,HMR_4427,HMR_4167,,HMR_4222,HMR_4667,HMR_4385,HMR_5339,HMR_4560,HMR_6537,HMR_5135,HMR_5169,,,,,HMR_6433,,HMR_6636,HMR_6907,HMR_6997,,HMR_8381,HMR_7207,HMR_7230,HMR_7340,HMR_7379,HMR_7506,,,HMR_9493,,,,,,RE3273R,
6,3DHCDCHOLt2,HMR_8560,HMR_3215,HMR_4282,ADPCOACROT,HMR_4685,COQ7m,DCA24GSc,3MEACMPhc,HMR_5397,HMR_7669,HMR_8264,HEXA1l,C4STMO2r,HMR_0450,HMR_4112,HMR_6914,DESAT18_6,HMR_7265,HMR_4028,EX_3dhchol[e],EX_gt1b_hs[e],,HMR_4137,HMR_4352,HMR_7436,HMR_0665,HMR_10037,HMR_0210,HMR_2608,HMR_2596,HMR_0213,HMR_0488,HMR_3841,HMR_6544,HMR_4260,HMR_0808,HMR_0811,HMR_0825,HMR_0870,HMR_0937,HMR_7614,,HMR_2002,HMR_1096,HMR_1180,HMR_1326,HMR_7709,HMR_1470,,HMR_1544,HMR_4087,HMR_1874,HMR_1963,,HMR_2036,HMR_2131,HMR_2158,HMR_2203,HMR_2233,HMR_2265,HMR_2293,,HMR_2319,HMR_2383,HMR_2459,HMR_2486,HMR_2789,HMR_2948,HMR_3037,HMR_3063,,HMR_3113,HMR_8564,HMR_3176,HMR_3224,HMR_3246,HMR_3282,HMR_3309,HMR_3332,HMR_3362,HMR_3493,HMR_3528,HMR_3574,HMR_3829,HMR_3835,,HMR_4120,HMR_4717,HMR_3920,HMR_4340,HMR_4414,HMR_8415,HMR_4054,HMR_4494,HMR_4752,HMR_4014,HMR_4070,HMR_4689,HMR_4169,,HMR_4224,HMR_4668,HMR_4386,HMR_8783,HMR_4561,HMR_8341,HMR_5136,,,,,,HMR_6434,,HMR_6638,HMR_6908,HMR_6998,,HMR_8383,HMR_7208,HMR_7231,HMR_7341,HMR_7380,HMR_7507,,,HMR_9494,,,,,,,
7,3DHCHOLabc,RE3335M,HMR_3744,HMR_4331,ADPCOAPTE,HMR_4686,COUCOAFm,DCA3GSc,3MEACMPitr,HMR_5398,HMR_7670,HMR_8267,HEXA2l,DHCR243r,HMR_0468,HMR_4113,HMR_6916,DESAT18_7,HMR_7266,HMR_4030,EX_3dhdchol[e],HMR_3955,,HMR_4281,HMR_4354,HMR_7438,HMR_0667,HMR_5238,HMR_0214,HMR_2611,HMR_2598,HMR_0217,HMR_0489,HMR_3843,HMR_6545,HMR_4261,HMR_0826,HMR_0812,HMR_0828,HMR_0873,HMR_0938,HMR_7615,,HMR_2003,HMR_1097,HMR_1181,HMR_1327,,HMR_1473,,HMR_1545,HMR_4089,HMR_1896,HMR_1969,,HMR_2037,HMR_2132,HMR_2159,HMR_2204,HMR_2234,HMR_2266,HMR_2294,,HMR_2321,HMR_2387,HMR_2460,HMR_2489,HMR_2790,HMR_2949,,HMR_3064,,HMR_3114,HMR_8566,HMR_3177,HMR_3225,HMR_3247,HMR_3283,HMR_3310,HMR_3333,HMR_3363,HMR_3498,HMR_3529,HMR_3575,HMR_3831,HMR_3837,,HMR_4121,HMR_4718,HMR_3928,HMR_4440,HMR_4415,,HMR_4061,HMR_4524,HMR_4755,HMR_4016,HMR_4071,HMR_4735,HMR_4170,,HMR_4225,HMR_4737,HMR_4387,HMR_8784,HMR_4563,HMR_8344,HMR_5137,,,,,,HMR_6435,,HMR_6641,HMR_6909,HMR_6999,,HMR_8384,HMR_7209,HMR_7232,HMR_7342,HMR_7381,HMR_7513,,,HMR_9516,,,,,,,
8,3DHCHOLt2,RE3335R,HMR_3747,HMR_4459,ADRNCRNt,HMR_4687,T4HCINNMFM,HC02195te,3OHACMPhr,HMR_5399,HMR_7671,HMR_8268,HEXA3e,DHCR71r,HMR_0479,HMR_4139,HMR_6918,DESAT18_8,HMR_7267,HMR_4032,EX_3dhlchol[e],HMR_3984,,HMR_4283,HMR_4398,HMR_7440,HMR_0668,HMR_5247,HMR_0223,HMR_2614,HMR_2600,HMR_0226,HMR_0490,HMR_3845,HMR_6546,HMR_4262,HMR_0835,,HMR_0830,HMR_0875,HMR_0939,,,HMR_2041,HMR_1098,HMR_1182,HMR_1329,,HMR_1477,,HMR_1546,HMR_4091,,HMR_1973,,HMR_2038,HMR_2133,HMR_2160,HMR_2205,HMR_2235,HMR_2267,HMR_2295,,HMR_2324,HMR_2389,HMR_2463,HMR_2491,HMR_2791,HMR_2951,,HMR_3065,,HMR_3115,,HMR_3178,HMR_3226,HMR_3250,HMR_3284,HMR_3311,HMR_3334,,HMR_3501,HMR_3530,HMR_3576,HMR_3865,HMR_3838,,HMR_4175,HMR_4723,HMR_3995,HMR_4442,HMR_4416,,HMR_4083,HMR_4525,HMR_4757,HMR_4018,HMR_8102,HMR_7993,HMR_4523,,HMR_4242,HMR_4739,HMR_4399,,,HMR_8352,HMR_5138,,,,,,HMR_6436,,HMR_6642,HMR_6910,HMR_7000,,HMR_8385,HMR_7210,HMR_7233,HMR_7343,HMR_7382,HMR_7514,,,HMR_9517,,,,,,,
9,3DHDCAabc,RE3335X,HMR_3748,HMR_4460,ALDD21,HMR_4702,,HC02196te,3OHACMPitr,HMR_5400,HMR_7672,HMR_8271,HEXAHBl,DHCR72r,HMR_0481,HMR_4141,HMR_6921,DESAT18_9,HMR_7268,HMR_4034,EX_3hpvs[e],HMR_4201,,HMR_4301,HMR_4404,HMR_8257,HMR_0669,,HMR_0230,HMR_2620,HMR_2601,HMR_0233,HMR_0491,HMR_3847,HMR_6547,HMR_4263,HMR_0836,,HMR_0837,HMR_0883,HMR_0940,,,HMR_4766,HMR_1099,HMR_1183,HMR_1332,,HMR_1478,,HMR_1547,HMR_4103,,HMR_1974,,HMR_2042,HMR_2134,HMR_2161,HMR_2208,HMR_2236,HMR_2268,HMR_2296,,HMR_2326,HMR_2395,HMR_2464,HMR_2493,HMR_2792,HMR_2952,,HMR_3066,,HMR_3116,,HMR_3179,HMR_3227,HMR_3252,HMR_3285,HMR_3312,HMR_3335,,HMR_3503,HMR_3531,HMR_3577,HMR_3870,HMR_3895,,HMR_4176,HMR_4725,HMR_4189,HMR_4444,HMR_4774,,HMR_4136,HMR_4526,HMR_4758,HMR_4020,HMR_8724,,HMR_4539,,HMR_4243,HMR_6415,HMR_4400,,,HMR_8727,HMR_5139,,,,,,HMR_6441,,HMR_6643,,HMR_7001,,HMR_8387,HMR_7211,HMR_7234,HMR_7344,HMR_7383,HMR_7515,,,HMR_9556,,,,,,,
