Met,Stoic
m02040c,-0.248
m02039c,-0.248
m01371c,-3.182
m01285c,3.182
m02751c,-2.685
m01975c,-0.026
m01370c,-0.042
m02527c,-0.01
m02759c,2.933
m02034c,-0.59
m01307c,-0.064
m01369c,-0.045
m01628c,-0.008
m01974c,-0.055
m01986c,-0.071
m02896c,-0.067
m02993c,-0.06
m02426c,-0.051
m01365c,-0.046
m02471c,-0.012
m01623c,-0.596
m03130c,-0.865
m02125c,-0.009
m03101c,-0.026
m02184c,-0.035
m02360c,-0.06
m03089c,-0.01
m02724c,-0.032
m02770c,-0.046
m03135c,-0.031
m02684c,-0.038400093
m02685c,-0.014565553
m02808c,-0.001986212
m02750c,-0.006620706
m02908c,-0.001986212
m01450c,-1.19E-05
sarscov2c,1
