Reaction,Pvalue,Padj,Reject,FC
DESAT20_1,9.364276095385904e-134,2.155328276471382e-133,True,1.0
HMR_6817,0.0,0.0,True,1.0
OCD11CRNCACT,6.183326794894121e-225,1.895099111824675e-224,True,-1.0
FAOXC163Gm,2.9089608070302393e-118,6.427794241778734e-118,True,-1.0
HMR_2762,4.511451170861682e-173,1.1802278509486365e-172,True,-1.0
HMR_6571,0.0,0.0,True,-1.0
HMR_8448,0.0,0.0,True,7.32963765326585
HMR_7849,4.703117298365724e-300,1.7012510721248852e-299,True,-0.850778624030722
HMR_5548,0.0,0.0,True,3.524828585771648
HMR_6572,0.0,0.0,True,-1.0
HMR_0195,0.0,0.0,True,1.0
HMR_3947,0.0,0.0,True,-0.9509483322432961
HMR_3340,3.693602688457747e-148,8.892568510420049e-148,True,-0.8421052631578964
EX_M00341[e],5.361897950605834e-295,1.906597208164453e-294,True,-1.0
HMR_0385,3.881265517447761e-287,1.3538223769192786e-286,True,1.0
HMR_0249,0.0,0.0,True,-1.0
HC02195te,8.139997120669827e-154,1.9924972066468334e-153,True,-1.0
r1451,0.0,0.0,True,1.0
HMR_6545,0.0,0.0,True,1.0
HMR_7639,0.0,0.0,True,1.0
C05463t1,0.0,0.0,True,-1.0
HMR_0395,1.2396359437316483e-194,3.3881840626247476e-194,True,-1.0
EX_CE7096[e],2.693817332366666e-21,3.642309544916628e-21,True,1.0
HMR_5522,0.0,0.0,True,-4.386406640383733
HMR_4570,0.0,0.0,True,9.278803753991928
TUDCA3St,0.0,0.0,True,1.0
HMR_9411,2.6878632345938e-310,1.001964284651376e-309,True,-0.9761230769230769
HMR_9296,2.1996385964232356e-279,7.546769423325622e-279,True,-1.0
HMR_0669,0.0,0.0,True,-1.0
HMR_7682,0.0,0.0,True,-1.2078570655910044
HMR_3176,0.0,0.0,True,1.0
HMR_4081,0.0,0.0,True,-1.0
HMR_0643,4.2783873670301815e-250,1.4022007813644779e-249,True,1.0
HMR_2646,1.721716549781651e-206,4.916792876082103e-206,True,-4.966063348416306
HMR_4863,0.0,0.0,True,2.7851716785533878
HMR_8468,0.0,0.0,True,-1.4453120400003099
HMR_3873,0.0,0.0,True,1.0
HMR_2862,2.1966264015620274e-38,3.501694970934125e-38,True,-1.0
THCHOLSTOICATP,0.0,0.0,True,-0.9934516093188638
HMR_2294,5.361897950605834e-295,1.906597208164453e-294,True,-1.0
r1147,0.0,0.0,True,-1.966492342958448
HMR_3326,8.139997120669827e-154,1.9924972066468334e-153,True,-0.859116022099449
HMR_8460,0.0,0.0,True,0.8299997962840181
HMR_0212,1.5559281741512401e-232,4.8653890611132695e-232,True,1.0
PCHOLSTE_HSt1e,0.0,0.0,True,-1.0
HMR_6313,0.0,0.0,True,-0.983591068374535
HMR_5468,0.0,0.0,True,-1.2333232630966926
HMR_8734,0.0,0.0,True,1.5064184291652276
HMR_2605,3.2232151578221254e-27,4.670633240563218e-27,True,1.1225296442687744
HMR_5467,0.0,0.0,True,2.0239393508404655
HMR_3087,3.1102585512326516e-162,7.822367000095854e-162,True,-0.8438761776581444
HMR_3286,1.2441556215016296e-119,2.7595578887204954e-119,True,-1.0
r0633,0.0,0.0,True,-0.8575204217653811
HMR_4706,0.0,0.0,True,1.0
HMR_3330,1.060469383496167e-161,2.6557053791831617e-161,True,-0.8276762402088793
HMR_4524,0.0,0.0,True,1.0
EX_dlnlcg[e],6.102968739149769e-212,1.7722198618145513e-211,True,1.0
HMR_2522,0.0,0.0,True,-1.0
HMR_4971,1.6471512100150677e-209,4.726888389171546e-209,True,2.7539527322970434
SPHMYLN18114_hs_ATPt,0.0,0.0,True,1.0
HMR_0321,0.0,0.0,True,-1.0
HMR_8467,0.0,0.0,True,-1.1893151970569527
HMR_7867,0.0,0.0,True,-2.450042011356104
HMR_5483,0.0,0.0,True,2.742938183627521
HMR_3284,1.5062867610437948e-120,3.348573755583323e-120,True,-1.0
HMR_0247,0.0,0.0,True,-1.0
