Reaction,Pvalue,Padj,Reject,FC
HMR_5512,0.0,0.0,True,1.0765457902113427
LNELDCCRNt,0.0,0.0,True,-3.1517218065817643
C181CPT2,0.0,0.0,True,0.8842511238963137
HMR_7887,6.674875089185557e-109,1.3648694898950454e-108,True,-1.307825795221967
HMR_1548,2.806260007913589e-41,4.2976371819308655e-41,True,-1.0
HMR_8935,0.0,0.0,True,1.0
HMR_4512,0.0,0.0,True,-1.9947384034745117
HMR_6101,0.0,0.0,True,1.0
HMR_4381,0.0,0.0,True,0.9446195313947288
HMR_8709,0.0,0.0,True,27.172339621495098
HMR_9439,0.0,0.0,True,-1.0
HMR_2735,1.643407170818887e-25,2.267250119515057e-25,True,-1.0
r0638,0.0,0.0,True,-1.3439971842987597
SPHS1Pt2e,0.0,0.0,True,-0.8309238363892772
HMR_4871,0.0,0.0,True,2.407028074629494
HMR_0313,0.0,0.0,True,-1.0
HMR_9297,0.0,0.0,True,1.0
HMR_9201,0.0,0.0,True,1.0
HMR_2819,5.645290005088747e-58,9.40989012827685e-58,True,-1.0
HMR_5513,0.0,0.0,True,-17.65754544625042
HMR_5568,0.0,0.0,True,3.875342835774809
HMR_4855,0.0,0.0,True,3.1815592448651038
HMR_3153,0.0,0.0,True,-0.8343061888638956
HMR_5495,0.0,0.0,True,-0.9365197971968109
HMR_3163,0.0,0.0,True,1.0
HMR_3288,0.0,0.0,True,-1.0
HMR_9300,0.0,0.0,True,-1.0
THCHOLSTOICATP,0.0,0.0,True,-0.9838682651149325
HMR_0255,0.0,0.0,True,1.0
FAOXC81C61m,2.4359584700751575e-14,3.037930281502224e-14,True,-1.0
HMR_0409,0.0,0.0,True,-0.872756039676261
HMR_4184,3.5224209963743727e-149,8.059917111517363e-149,True,-1.0
HMR_2982,2.4312743365842156e-57,4.0479678698000447e-57,True,1.0
HMR_6546,0.0,0.0,True,-1.0
HMR_5909,0.0,0.0,True,-0.8310337132590487
LCA3Sabc,0.0,0.0,True,-0.9570782310926836
HMR_8469,0.0,0.0,True,-2.414990684552944
r1450,0.0,0.0,True,-1.0
HMR_3332,6.197280383496619e-06,6.805130883343526e-06,True,1.0
HMR_3286,0.0,0.0,True,-1.0
HMR_5483,0.0,0.0,True,3.3631386858348757
HMR_1546,1.5704415238299118e-54,2.576546958243123e-54,True,-1.0
HMR_7888,0.0,0.0,True,-2.633790698774207
HMR_6631,0.0,0.0,True,1.0
HMR_6366,0.0,0.0,True,-1.0
HMR_9296,2.0184384209713166e-251,5.770916894401357e-251,True,-1.0
HMR_3213,6.674875089185557e-109,1.3648694898950454e-108,True,-1.0
HMR_2522,2.1428835192665972e-45,3.3555764433531604e-45,True,-1.0
HMR_5515,0.0,0.0,True,116.55448070753988
HMR_3871,0.0,0.0,True,1.0
HMR_4270,0.0,0.0,True,-1.0
HMR_2328,1.463444082804217e-182,3.5964538351168394e-182,True,0.8766157461809636
HMR_5476,0.0,0.0,True,-0.8250235370105637
HC02196te,0.0,0.0,True,1.0
HMR_8500,0.0,0.0,True,-0.8983485539016066
C180CRNt,0.0,0.0,True,3.1725508693898012
FAOXC163Gm,3.556889928938484e-05,3.846496066749907e-05,True,-1.0
HMR_5462,0.0,0.0,True,1.4766930820020958
HMR_6549,0.0,0.0,True,1.0
HMR_2336,6.323702326649086e-200,1.6280051276185666e-199,True,0.8772647574517828
HMR_4524,0.0,0.0,True,1.0
HMR_8662,0.0,0.0,True,11.5009257962493
COPROSTabc,0.0,0.0,True,-1.0
HMR_2317,7.216717724709474e-181,1.7616749533501322e-180,True,0.883967560823456
HMR_5299,0.0,0.0,True,-1.0
HMR_3783,0.0,0.0,True,-9.483184176241387
PCHOLDOC_HSABCt,0.0,0.0,True,-1.0
