"","SYMBOL","GENEID"
"1","DPM1","ENSG00000000419"
"2","FGR","ENSG00000000938"
"3","FUCA2","ENSG00000001036"
"4","GCLC","ENSG00000001084"
"5","CYP51A1","ENSG00000001630"
"6","LAP3","ENSG00000002549"
"7","HS3ST1","ENSG00000002587"
"8","AOC1","ENSG00000002726"
"9","HECW1","ENSG00000002746"
"10","CYP26B1","ENSG00000003137"
"11","MTMR7","ENSG00000003987"
"12","SLC7A2","ENSG00000003989"
"13","AK2","ENSG00000004455"
"14","CD38","ENSG00000004468"
"15","FKBP4","ENSG00000004478"
"16","CAMKK1","ENSG00000004660"
"17","NDUFAB1","ENSG00000004779"
"18","PDK4","ENSG00000004799"
"19","SLC22A16","ENSG00000004809"
"20","SLC25A13","ENSG00000004864"
"21","SLC4A1","ENSG00000004939"
"22","HCCS","ENSG00000004961"
"23","SLC25A5","ENSG00000005022"
"24","POLR2J","ENSG00000005075"
"25","ACSM3","ENSG00000005187"
"26","PRKAR2B","ENSG00000005249"
"27","CREBBP","ENSG00000005339"
"28","MPO","ENSG00000005381"
"29","PON1","ENSG00000005421"
"30","CROT","ENSG00000005469"
"31","ABCB4","ENSG00000005471"
"32","KMT2E","ENSG00000005483"
"33","MYCBP2","ENSG00000005810"
"34","PDK2","ENSG00000005882"
"35","GDE1","ENSG00000006007"
"36","MAP3K14","ENSG00000006062"
"37","ABCC8","ENSG00000006071"
"38","MAP3K9","ENSG00000006432"
"39","AGK","ENSG00000006530"
"40","ALDH3B1","ENSG00000006534"
"41","GGCT","ENSG00000006625"
"42","COX10","ENSG00000006695"
"43","ARSD","ENSG00000006756"
"44","PNPLA4","ENSG00000006757"
"45","CDKL3","ENSG00000006837"
"46","UPP2","ENSG00000007001"
"47","MARK4","ENSG00000007047"
"48","PAFAH1B1","ENSG00000007168"
"49","NOS2","ENSG00000007171"
"50","SLC13A2","ENSG00000007216"
"51","MATK","ENSG00000007264"
"52","TKTL1","ENSG00000007350"
"53","PIGQ","ENSG00000007541"
"54","FMO3","ENSG00000007933"
"55","MYLIP","ENSG00000007944"
"56","CDKL5","ENSG00000008086"
"57","CAMK1G","ENSG00000008118"
"58","CDK11A","ENSG00000008128"
"59","NADK","ENSG00000008130"
"60","CELSR3","ENSG00000008300"
"61","AASS","ENSG00000008311"
"62","MGST1","ENSG00000008394"
"63","PGLYRP1","ENSG00000008438"
"64","ST3GAL1","ENSG00000008513"
"65","UBE3C","ENSG00000009335"
"66","REV3L","ENSG00000009413"
"67","POMT2","ENSG00000009830"
"68","METTL13","ENSG00000010165"
"69","DYRK4","ENSG00000010219"
"70","UQCRC1","ENSG00000010256"
"71","SLC6A13","ENSG00000010379"
"72","IDS","ENSG00000010404"
"73","BTK","ENSG00000010671"
"74","FYN","ENSG00000010810"
"75","FMO1","ENSG00000010932"
"76","LYPLA2","ENSG00000011009"
"77","NME2","ENSG00000011052"
"78","SLC6A7","ENSG00000011083"
"79","ABHD5","ENSG00000011198"
"80","RNF216","ENSG00000011275"
"81","PIK3C2A","ENSG00000011405"
"82","PPP5C","ENSG00000011485"
"83","MAP4K3","ENSG00000011566"
"84","EXTL3","ENSG00000012232"
"85","ELOVL5","ENSG00000012660"
"86","ALOX5","ENSG00000012779"
"87","UBR7","ENSG00000012963"
"88","MAP4K5","ENSG00000012983"
"89","MAN2B2","ENSG00000013288"
"90","PGM3","ENSG00000013375"
