Gene stable ID,Transcript length (including UTRs and CDS)
ENSG00000117054,2261
ENSG00000122971,1859
ENSG00000072778,2184
ENSG00000075239,1537
ENSG00000080815,6018
ENSG00000196839,1496
ENSG00000169252,3443
ENSG00000239900,4359
ENSG00000038002,2037
ENSG00000162688,7446
ENSG00000148218,3129
ENSG00000101986,3669
ENSG00000134982,10704
ENSG00000026103,3696
ENSG00000113273,4852
ENSG00000126522,2140
ENSG00000130707,1548
ENSG00000149311,13147
ENSG00000165240,8492
ENSG00000123191,6598
ENSG00000083123,1514
ENSG00000197299,5240
ENSG00000139618,10984
ENSG00000125730,5231
ENSG00000104267,1562
ENSG00000135218,1942
ENSG00000135446,1865
ENSG00000273707,2051
ENSG00000129757,1930
ENSG00000108556,2482
ENSG00000143669,13466
ENSG00000049167,2017
ENSG00000188037,3187
ENSG00000171365,2660
ENSG00000188603,1876
ENSG00000108821,5914
ENSG00000169031,8038
ENSG00000081052,9984
ENSG00000130635,8442
ENSG00000114270,9276
ENSG00000047457,4452
ENSG00000080819,2709
ENSG00000157184,2699
ENSG00000101439,793
ENSG00000160213,588
ENSG00000138061,5218
ENSG00000134574,1815
ENSG00000091140,3537
ENSG00000188641,4423
ENSG00000155850,8054
ENSG00000136827,2080
ENSG00000102125,1906
ENSG00000102119,1281
ENSG00000143819,1780
ENSG00000163161,2718
ENSG00000134899,3888
ENSG00000225830,9001
ENSG00000091831,6458
ENSG00000140374,2289
ENSG00000182197,8243
ENSG00000124491,3828
ENSG00000198734,9132
ENSG00000185010,9032
ENSG00000187741,5452
ENSG00000158169,4592
ENSG00000103876,1456
ENSG00000166147,11609
ENSG00000066926,7689
ENSG00000066468,4624
ENSG00000068078,4306
ENSG00000091483,1791
ENSG00000165060,6978
ENSG00000087086,871
ENSG00000179163,2047
ENSG00000174951,4246
ENSG00000171124,2587
ENSG00000156413,2416
ENSG00000171298,3751
ENSG00000108479,1397
ENSG00000213930,1756
ENSG00000130005,1110
ENSG00000262446,2276
ENSG00000177628,2291
